mechanism,adaptive_gain_scale,adaptive_gain_value,selected_coupling_memory_gain_rad_h,condition,D_period_h,V_period_h,mean_DV_period_h,mean_gap_h,mean_tau_D_h,mean_K_effective_rad_h,mean_gap_rad,delta_omega_rad_h,K_effective_rad_h,locking_ratio,phase_lock_possible,fractional_change,percent_change,D_period_change_h,V_period_change_h,mean_DV_period_change_h,gap_change_h,baseline_phase_lock_possible
adaptive period,0.1,0.7994471106801865,-0.484,SP,23.829787234042556,23.914590747330962,23.87218899068676,0.18674742604262679,23.96413728630743,0.0035750484417668123,0.04889036181102663,0.00075013719045669,0.0035750484417668123,0.20982574157399875,True,-0.9,-90.0,-0.1702127659574444,-0.08540925266903798,-0.1278110093132412,0.16857850260605373,True
adaptive period,0.1,0.7994471106801865,-0.484,LP,23.829787234042556,23.829787234042556,23.829787234042556,0.3036775570097841,23.94409372040613,0.0035750484417668123,0.07950259851350278,0.0009696170401174986,0.0035750484417668123,0.27121787464180697,True,-0.9,-90.0,0.33328373753905893,0.2508398656215043,0.2920618015802816,-0.5645369518838887,True
adaptive period,0.1,0.7994471106801865,-0.484,LD,23.829787234042556,23.914590747330962,23.87218899068676,0.24504699910117522,23.953901225458807,0.0035750484417668123,0.06415315434670639,0.0008621775964658407,0.0035750484417668123,0.24116529062743186,True,-0.9,-90.0,0.08420419517329947,0.16900770846170587,0.12660595181750267,-0.19401909571805676,True
adaptive period,0.1,0.7994471106801865,-0.484,T22,23.914590747330962,23.914590747330962,23.914590747330962,0.1131900556051833,23.999867786116784,0.0035750484417668123,0.02963308726238867,0.0003597924684263787,0.0035750484417668123,0.10063988622446943,True,-0.9,-90.0,-0.9742981415579308,-0.791291605610219,-0.8827948735840749,1.4115805124739862,False
adaptive period,0.1,0.7994471106801865,-0.484,T26,23.745583038869256,23.829787234042556,23.787685136455906,0.3785444281909331,23.91114660662504,0.0035750484417668123,0.09910269955516536,0.001331192076103549,0.0035750484417668123,0.37235637440640246,True,-0.9,-90.0,0.9659220219201003,0.8160886039055697,0.891005312912835,-1.8501892686514183,False
adaptive period,0.15000000000000002,1.1991706660202799,-0.484,SP,23.829787234042556,23.914590747330962,23.87218899068676,0.17834523609544348,23.966659263075954,0.0035750484417668123,0.04669067362668187,0.0007225471936868066,0.0035750484417668123,0.2021083645316199,True,-0.85,-85.0,-0.1702127659574444,-0.08540925266903798,-0.1278110093132412,0.1601763126588704,True
adaptive period,0.15000000000000002,1.1991706660202799,-0.484,LP,23.829787234042556,23.829787234042556,23.829787234042556,0.3295805158461518,23.93632249789119,0.0035750484417668123,0.0862839772790504,0.0010548118977416476,0.0035750484417668123,0.2950482811417103,True,-0.85,-85.0,0.33328373753905893,0.2508398656215043,0.2920618015802816,-0.5386339930475211,True
adaptive period,0.15000000000000002,1.1991706660202799,-0.484,LD,23.829787234042556,23.914590747330962,23.87218899068676,0.2540964970399276,23.951183386181736,0.0035750484417668123,0.06652230736696142,0.0008919422210016403,0.0035750484417668123,0.24949094691450857,True,-0.85,-85.0,0.08420419517329947,0.16900770846170587,0.12660595181750267,-0.18496959777930438,True
adaptive period,0.15000000000000002,1.1991706660202799,-0.484,T22,24.0,24.0,24.0,0.04438315745218637,24.02071887582278,0.0035750484417668123,0.011619483449575647,0.0001325372967380667,0.0035750484417668123,0.03707286737422945,True,-0.85,-85.0,-0.8888888888888928,-0.7058823529411811,-0.797385620915037,1.3427736143209894,False
adaptive period,0.15000000000000002,1.1991706660202799,-0.484,T26,23.661971830985912,23.745583038869256,23.703777434927584,0.46112349634069155,23.88643587944346,0.0035750484417668123,0.12072184904179638,0.0016030322497657679,0.0035750484417668123,0.44839455349408885,True,-0.85,-85.0,0.8823108140367566,0.7318844087322702,0.8070976113845134,-1.7676102005016598,False
adaptive period,0.2,1.598894221360373,-0.484,SP,23.914590747330962,23.914590747330962,23.914590747330962,0.16983749872235324,23.96921359313653,0.0035750484417668123,0.0444633531908509,0.0006946091754975736,0.0035750484417668123,0.19429364015954234,True,-0.8,-80.0,-0.08540925266903798,-0.08540925266903798,-0.08540925266903798,0.15166857528578015,True
adaptive period,0.2,1.598894221360373,-0.484,LP,23.745583038869256,23.829787234042556,23.787685136455906,0.35602281553331305,23.928396465133044,0.0035750484417668123,0.09320655514915087,0.0011417609210402913,0.0035750484417668123,0.31936935670612215,True,-0.8,-80.0,0.24907954236575947,0.2508398656215043,0.24995970399363188,-0.5121916933603599,True
