condition,K_VD_rad_h,phi_star_rad,stability,delta_omega_rad_h,K_DV_rad_h
SP,0.00871743486973948,-3.088608089578246,stable,0.0001963492545675738,0.012424951558233189
SP,0.008817635270541082,-0.054457752776302826,unstable,0.0001963492545675738,0.012424951558233189
SP,0.008817635270541082,-3.0871349008134903,stable,0.0001963492545675738,0.012424951558233189
SP,0.008917835671342685,-0.056015250027691366,unstable,0.0001963492545675738,0.012424951558233189
SP,0.008917835671342685,-3.0855774035621018,stable,0.0001963492545675738,0.012424951558233189
SP,0.009018036072144289,-0.05766451038097875,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009018036072144289,-3.083928143208814,stable,0.0001963492545675738,0.012424951558233189
SP,0.009118236472945893,-0.059413894532723166,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009118236472945893,-3.0821787590570704,stable,0.0001963492545675738,0.012424951558233189
SP,0.009218436873747494,-0.061272811327926835,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009218436873747494,-3.0803198422618667,stable,0.0001963492545675738,0.012424951558233189
SP,0.009318637274549098,-0.06325188744121135,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009318637274549098,-3.0783407661485818,stable,0.0001963492545675738,0.012424951558233189
SP,0.009418837675350702,-0.06536317114830226,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009418837675350702,-3.076229482441491,stable,0.0001963492545675738,0.012424951558233189
SP,0.009519038076152305,-0.06762037846152902,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009519038076152305,-3.0739722751282645,stable,0.0001963492545675738,0.012424951558233189
SP,0.009619238476953907,-0.07003919228229671,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009619238476953907,-3.071553461307497,stable,0.0001963492545675738,0.012424951558233189
SP,0.009719438877755511,-0.07263762840190235,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009719438877755511,-3.0689550251878908,stable,0.0001963492545675738,0.012424951558233189
SP,0.009819639278557115,-0.07543648646971013,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009819639278557115,-3.0661561671200825,stable,0.0001963492545675738,0.012424951558233189
SP,0.009919839679358717,-0.07845990989250362,unstable,0.0001963492545675738,0.012424951558233189
SP,0.009919839679358717,-3.06313274369729,stable,0.0001963492545675738,0.012424951558233189
SP,0.01002004008016032,-0.08173608668635346,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01002004008016032,-3.0598565669034397,stable,0.0001963492545675738,0.012424951558233189
SP,0.010120240480961924,-0.0852981345453685,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010120240480961924,-3.0562945190444246,stable,0.0001963492545675738,0.012424951558233189
SP,0.010220440881763528,-0.08918522928578998,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010220440881763528,-3.052407424304003,stable,0.0001963492545675738,0.012424951558233189
SP,0.01032064128256513,-0.0934440586132621,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01032064128256513,-3.0481485949765315,stable,0.0001963492545675738,0.012424951558233189
SP,0.010420841683366733,-0.09813071634346082,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010420841683366733,-3.0434619372463327,stable,0.0001963492545675738,0.012424951558233189
SP,0.010521042084168337,-0.10331320133901256,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010521042084168337,-3.03827945225078,stable,0.0001963492545675738,0.012424951558233189
SP,0.01062124248496994,-0.10907475952676338,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01062124248496994,-3.03251789406303,stable,0.0001963492545675738,0.012424951558233189
SP,0.010721442885771542,-0.11551842140484014,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010721442885771542,-3.0260742321849534,stable,0.0001963492545675738,0.012424951558233189
SP,0.010821643286573146,-0.12277326695260049,unstable,0.0001963492545675738,0.012424951558233189
SP,0.010821643286573146,-3.018819386637192,stable,0.0001963492545675738,0.012424951558233189
SP,0.01092184368737475,-0.1310032395382721,unstable,0.0001963492545675738,0.012424951558233189
SP,0.01092184368737475,-3.0105894140515215,stable,0.0001963492545675738,0.012424951558233189
SP,0.011022044088176353,-0.14041981119152203,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011022044088176353,-3.0011728423982706,stable,0.0001963492545675738,0.012424951558233189
SP,0.011122244488977955,-0.15130062520469112,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011122244488977955,-2.9902920283851024,stable,0.0001963492545675738,0.012424951558233189
SP,0.011222444889779559,-0.16401770480976507,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011222444889779559,-2.9775749487800276,stable,0.0001963492545675738,0.012424951558233189
SP,0.011322645290581163,-0.17908152521250997,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011322645290581163,-2.962511128377283,stable,0.0001963492545675738,0.012424951558233189
SP,0.011422845691382766,-0.19721251141602103,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011422845691382766,-2.944380142173772,stable,0.0001963492545675738,0.012424951558233189
SP,0.011523046092184368,-0.2194623670407574,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011523046092184368,-2.922130286549036,stable,0.0001963492545675738,0.012424951558233189
SP,0.011623246492985972,-0.247431582201592,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011623246492985972,-2.8941610713882007,stable,0.0001963492545675738,0.012424951558233189
SP,0.011723446893787575,-0.28368712139337715,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011723446893787575,-2.8579055321964155,stable,0.0001963492545675738,0.012424951558233189
SP,0.011823647294589179,-0.3326394584316823,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011823647294589179,-2.808953195158111,stable,0.0001963492545675738,0.012424951558233189
SP,0.011923847695390781,-0.4026235493966821,unstable,0.0001963492545675738,0.012424951558233189
SP,0.011923847695390781,-2.738969104193111,stable,0.0001963492545675738,0.012424951558233189
SP,0.012024048096192385,-0.5118223964690198,unstable,0.0001963492545675738,0.012424951558233189
